Sugarlips`|10:55:56, 11/11/09|<Jenbien> I must use my face now to hold up my body
Sugarlips`|14:28:54,23/09/13|<The_Man> uhhh vacuumcleaner sucks so good
Sugarlips`|14:28:54,23/09/13|<Shion> I've had enough of your shit, Parker. You're as useless as a fucking marzipan dildo.
Sugarlips`|14:28:54,23/09/13|* Loony_BoB high five Shorty * Shorty fives <nico[sleep]> True. Sarah can't really HIGH five anybody.
Sugarlips`|14:28:54,23/09/13|<Parker> im gonna have to GTL for a while before i feel confident enough to have a girl wax my hairy poo-encrusted ass
Sugarlips`|14:28:54,23/09/13|<Jowy> And just shove 'em in. <Jowy> Use KY Jelly if they won't fit.
Sugarlips`|14:28:54,23/09/13|<Parker> im gonna help as many women as possible by fitting my sanity stick into thier crazy hole
Sugarlips`|14:28:54,23/09/13|<Iceglow> I'm the scatman / Ski bi di bi di do bap do / Do bam do / Bada bwi ba ba bada bo / Baba ba da bo
Sugarlips`|14:28:54,23/09/13|<@Roogle> <skt> how do people afford anything
Sugarlips`|14:28:54,23/09/13|<kotora> FFO wasn't classy at all <kotora> it was like FF Asshole Central <kotora> i liked it
Sugarlips`|14:28:54,23/09/13|<Lockharted> Rantzien <Lockharted> is my poo ready?
Sugarlips`|14:28:54,23/09/13|<Sakura> i hope i get laid
Sugarlips`|14:28:54,23/09/13|<Lockharted> my finger is to big for the hole, so I have to just tear it up a bit :/
Sugarlips`|14:28:54,23/09/13|<Thecloudyday89> But parker you a nice guy i don't want make you gay .
Sugarlips`|14:28:54,23/09/13|<parker> i can't wait to be brutally raped in her next yaoi
Sugarlips`|14:28:54,23/09/13|<Thecloudyday89> How about to to sand me yaoi pictures  Araciel ? <Thecloudyday89> come Araciel <Thecloudyday89> sand it for me Araciel
Sugarlips`|14:28:54,23/09/13|<Shorty> I think I've been around plenty.
Sugarlips`|14:28:54,23/09/13|<mike> I imagine Pike to be this kind of hyper-advanced robot from an early civilisation of alien visitors from 150 million years ago
Sugarlips`|14:28:54,23/09/13|<@Roogle> CumWolf69, change your name, please.
Sugarlips`|14:28:54,23/09/13|<Thecloudyday89> I want ( you )  Rantzien
Sugarlips`|14:28:54,23/09/13|<@Shlup> When I taught preschool at my college there was this very hot African guy who asked me out. I was about to slip my engagement ring into my pocket; he was dreamy as hell.
Sugarlips`|14:28:54,23/09/13|<@Rantzien> You don't want to know what happened in my apartment while you were sleeping.
Sugarlips`|14:28:54,23/09/13|<Melissaur> Anya <Spooniest> I see you've already got her into topless photography
Sugarlips`|14:28:54,23/09/13|<parker> thats a fucking hilarious penis
Sugarlips`|14:28:54,23/09/13|<Sirius> Kent looks like an Orangutan protecting a beautiful child.
Sugarlips`|14:28:54,23/09/13|<Proto> hahaha, in this drawception game i started, Rantz turned into Chuck Norris
Sugarlips`|14:28:54,23/09/13|<Jowy> shit's hard.
Sugarlips`|14:28:54,23/09/13|<Phil|Mobile> Okay, all porked out >_<
Sugarlips`|14:28:54,23/09/13|<Araciel> you sexed your father? <@Shorty> yes please omg!
Sugarlips`|14:28:54,23/09/13|<kotora> the Democratic People's Republic of North Kotora
Sugarlips`|14:28:54,23/09/13|<@mike> Roogle is a fine specimen <futan> I would totally let him pummel me in the ass.
Sugarlips`|14:28:54,23/09/13|<@Rantzien> I can suck, but only physically.
Sugarlips`|14:28:54,23/09/13|<Beowulf> I don't always talk about women on their periods, but when I do, it's because it's a good time to make a joke
Sugarlips`|14:28:54,23/09/13|<@Roogle> Sarah Palin looked so good at the right angles! <@Roogle> mmm mmm MMM yea get me some of dat baked alaska
Sugarlips`|14:28:54,23/09/13|That video of him talking about why he hasn't put out an album in years? He has the gay voice.
Sugarlips`|14:28:54,23/09/13|<Reine> I am incredibly stupid. Started filling the sink to do the dishes, went to get a bowl out of my room then got sidetracked by the insane temperature on my computer. Entirely forgot about the sink, found the kitchen entirely flooded in hot water, water damage in places, and I now have scalded hands from trying to empty the sink.
Sugarlips`|14:28:54,23/09/13|<Reine> So, its not enough to flood the kitchen in hot water and burn everyone, now the unopened cat food bag fell apart on me while trying to get the cats inside. Outdoors. So I had to scoop up catfood for 15 minutes, much of which seems to have been absorbed into the outdoor mats.
Sugarlips`|14:28:54,23/09/13|<Araciel> for lumberjackin off
Sugarlips`|14:28:54,23/09/13|<Beowulf> SHOWER NOODZ YO <@Shorty> WHAT IS IT> <@Shorty> IS IT AN OCTOPUS
Sugarlips`|14:28:54,23/09/13|<sam> I WANT SOMEONE TO LOOK AT ME <sam> AND SAY <+Faris> Oh a boy!
Sugarlips`|14:28:54,23/09/13|<Jen_Mobile> Cats don't even look like they'd make a good meal <Lockharted> Oh <Lockharted> I thought a lot of people enjoyed eating pussy.
Sugarlips`|14:28:54,23/09/13|parker> sheeeeeeeeeeeeeeeeeeeeeeeeeeeeit you aint tuff without the puff
Sugarlips`|14:28:54,23/09/13|<Sephex> I love seeing a guy take a shit
Sugarlips`|14:28:54,23/09/13|<parker> Tifa's Boobs is still the best username
Sugarlips`|14:28:54,23/09/13|<Thecloudyday89> if you want picture  sam , i must go find it on the my dicks and i don't remember which one did i copy on disc
Sugarlips`|14:28:54,23/09/13|<Cookie> like he didn't know who his irl dad was
Sugarlips`|14:28:54,23/09/13|<Parker> i love cum
Sugarlips`|14:28:54,23/09/13|<+Aulayna> ./join #eoffstaff seriousshit
Sugarlips`|14:28:54,23/09/13|<parker> yo <parker> someone give my labia a tug
Sugarlips`|14:28:54,23/09/13|<kotora> what's a stationary
Sugarlips`|14:28:54,23/09/13|<Locky> what the fuck is white gravy?! o.O <@Rantzien> I'll tell you when you're older, Tara
Sugarlips`|14:28:54,23/09/13|<UncleBigHands> I can act underage!
Sugarlips`|14:28:54,23/09/13|<Nicolas> oh, whacking that last head is a pure bitch.
Sugarlips`|14:28:54,23/09/13|<Jen> there's too many butt burrs in the room
Sugarlips`|14:28:54,23/09/13|<Burrito> I'm kind of proud that I was all "Yeah, it's VD yo" even though I did change. >.< <Burrito> at least I got it.
Sugarlips`|14:28:54,23/09/13|<Lawr> Martin Luther King didn't die on the cross 400 years ago for me to still have a 12 o clock curfew at age 19
Sugarlips`|14:28:54,23/09/13|<Jowy> the girl at the store said "i started eating meat again so i went to the land of dicks that night" <Jowy> dick's is a burger place <Jowy> but i still lost my mind
Sugarlips`|14:28:54,23/09/13|<parker> "well i spend a lot of my time on /v/ but my favourite is /b/. the pictures are so rude and funny" - Innes91 on a date
Sugarlips`|14:28:54,23/09/13|<Mirage> i'm actually not very creepy <Mirage> i really would love to see the whole dress though
Sugarlips`|14:28:54,23/09/13|<kotora> women who have less sex shop more for shoes than women who have more <Shorty> I love shopping for shoes :( <Locky> me too Sarah <kotora> well now we have a scientific explanation for that
Sugarlips`|14:28:54,23/09/13|<sam> bitches love pomp and circumcisiontance
Sugarlips`|14:28:54,23/09/13|<Locky> oh oh oh oh shaunnnaaa
Sugarlips`|14:28:54,23/09/13|<Rantzien> like, glottal stops? <mike> you put a glottal stop into a word <Rantzien> aww yeah our "glottal stop" even lined up <mike> This is like when girls' periods synchronise and they automatically become best friends
Sugarlips`|14:28:54,23/09/13|<Loony_BoB> !weather Timbuktu  <Yumitsuka> Ambiguous query, apparently. Choose from the following, buddy: 1) Timbuktu, MI; 2) Timbuktu, MI; 3) Timbuktu, MI
Sugarlips`|14:28:54,23/09/13|<~Loony_BoB> maybe it's because people are polite in the Southern Hemisphere :D <WildRaubtier> fuck off cunt
Sugarlips`|14:28:54,23/09/13|<~Loony_BoB> They all took turns with it.  Tara kind of nibbled on the end, and since she got sick later and Psy had done that previously, we all thought it was something Psy left on it.
Sugarlips`|14:28:54,23/09/13|<Phil> well now I'm all sticky D:
Sugarlips`|14:28:54,23/09/13|<@Loony_Mob> I'll have his cream
Sugarlips`|14:28:54,23/09/13|<~Loony_BoB> It shouldn't be soggy if you do it right.
Sugarlips`|14:28:54,23/09/13|<Locky> like, so thick :o <Locky> and I'd like it to be sweeter
Sugarlips`|14:28:54,23/09/13|<Phil> When I found out she was two <Phil> mmmm boy
Sugarlips`|14:28:54,23/09/13|<Rantzien> Us being harder won't help Parker's sore butt
Sugarlips`|14:28:54,23/09/13|<Utamaru>  I suggest you seek professional help, as you don't seem to realize that *you* are ugly!
Sugarlips`|14:28:54,23/09/13|<Sugarlips`> Ugly, go look in a mirror.
Sugarlips`|14:28:54,23/09/13|<jake> yeah well that's just fine because you're an inbred <Tas|Game> An inbred what? <Tas|Game> Donkey? <Tas|Game> Elephant? =O <jake> chicken <Tas|Game> You hear that Parker? You're an inbred chicken~ <jake> yeah! <Tas|Game> Would be better in bread though.
Sugarlips`|14:28:54,23/09/13|<~Loony_BoB> it's the changes in texture and all the juices that combine, it's... incredible.
Sugarlips`|14:28:54,23/09/13|<Loony_MoB> About to eat my child and curry sauce
Sugarlips`|14:28:54,23/09/13|<Jiro> I had one beer with my buddies after we handed in our final assignments
Sugarlips`|14:28:54,23/09/13|<Jiro> I had one beer with my buddies after we handed in our final assignments  <Jiro> and was fucking wasted
Sugarlips`|14:28:54,23/09/13|<parker> honestly tho it looks like a dogs penis <parker> i sent you a pic, locky
Sugarlips`|14:28:54,23/09/13|<parker> honestly tho it looks like a dogs penis <parker> i sent you a pic, locky <Locky> wow <Locky> how does it feel to suck on that?
Sugarlips`|14:28:54,23/09/13|<Tasura> I've now colour coded my shart.
Sugarlips`|14:28:54,23/09/13|<tavaryn> augh <tavaryn> why did i duct tape this gauze to my arm <tavaryn> yesterday me was a moron
Sugarlips`|14:28:54,23/09/13|<kotora> but then when i talk to her she's also kinda awkward <kotora> maybe i should've brought up ikea or abba
Sugarlips`|14:28:54,23/09/13|<Jiro|Mobile> While we are enkoying vagpipes
Sugarlips`|14:28:54,23/09/13|<Locky> :/ <Locky> it always goes soft in the end
Sugarlips`|14:28:54,23/09/13|<Ã™Ã¨Ã•Ã©ÃœÃžÃ™> Sam, did you get together with SuperMillionaire, whoever that is?
Sugarlips`|14:28:54,23/09/13|<Araciel> Racism <Locky> I really like it! :)
Sugarlips`|14:28:54,23/09/13|<Nicolas> That's expenisve.
Sugarlips`|14:28:54,23/09/13|<shion> I am stinky :/
Sugarlips`|14:28:54,23/09/13|<Yerushalmi> ...only if I were to be castrated while in the middle of copulation. Which can't be conducive to a sterile operating environment.
Sugarlips`|14:28:54,23/09/13|<~Loony_BoB> I got it with fat because Locky likes it that way.
Sugarlips`|14:28:54,23/09/13|<Locky> Phil is the girl with the wide set vagina
Sugarlips`|14:28:54,23/09/13|<Locky> have you eaten my bacon yet?
Sugarlips`|14:28:54,23/09/13|<Loony_BoB> ChanServ's HELP is not very HELPful sometimes -ChanServ- No help available for is.
Sugarlips`|14:28:54,23/09/13|<Phil> But 5'6" isn't tall anyway <shion> TELL THAT TO SHARKY <Loony_BoB> is 5'6" tall for a girl? <Phil> No <Locky> nope <Tas|Game> Not really <Formalhaut> For a woman? No. <noxioussunshine> It's average. Not tall <Cim> I already said no fucker don't you listen? <Loony_BoB> sharky, 5'6" is not tall for a girl
Sugarlips`|14:28:54,23/09/13|<DignifiedPauper> Did you listen to that video of him talking about why he hasn't put out an album in years? He has the gay voice.
Sugarlips`|14:28:54,23/09/13|<mike> I give it 1 year before they make a masterchef/bachelor mashup <mike> one guy gets cooked for by 15 women <mike> and he marries the winner <mike> The Spatula - 2014
Sugarlips`|14:28:54,23/09/13|<Jiro|Mobile> He can't take her <Jiro|Mobile> Ruins the fun with ladyboys <Phil> Yeah
Sugarlips`|14:28:54,23/09/13|<Phil> oh god I just got a whatsapp xDD <Phil> Will someone get her some goddamn toilet paper. You're all the worst.
Sugarlips`|14:28:54,23/09/13|<shion> I would want them to fire you Faris
Sugarlips`|14:28:54,23/09/13|<@AwardPike> foa is perfect and Raist needs to be on the receiving end of her barb
Sugarlips`|14:28:54,23/09/13|<FlyingMullet> speaking of third prongs... <Daniel> It works :)
Sugarlips`|14:28:54,23/09/13|<Yumitsuka> Jason was in Butt
Sugarlips`|14:28:54,23/09/13|<@Freya> i raped for you guys
Sugarlips`|14:28:54,23/09/13|@Award?Pantz> Whatever bitch
